Tempo (s);Tensao (V);Corrente (A);Modo;Carga;Descarga
300.0;4.190;0.000;AUTO;ON;OFF
300.2;4.190;0.000;AUTO;ON;OFF
301.2;4.190;0.000;AUTO;ON;OFF
301.2;4.190;0.000;AUTO;ON;OFF
302.3;4.191;0.000;AUTO;ON;OFF
302.3;4.191;0.000;AUTO;ON;OFF
303.4;4.191;0.000;AUTO;ON;OFF
303.5;4.191;0.000;AUTO;ON;OFF
304.5;4.191;0.000;AUTO;ON;OFF
304.7;4.190;0.000;AUTO;ON;OFF
305.6;4.190;0.000;AUTO;ON;OFF
305.8;4.190;0.000;AUTO;ON;OFF
306.7;4.190;0.000;AUTO;ON;OFF
307.0;4.190;0.000;AUTO;ON;OFF
307.7;4.190;0.000;AUTO;ON;OFF
308.1;4.191;0.000;AUTO;ON;OFF
308.8;4.191;0.000;AUTO;ON;OFF
309.3;4.191;0.000;AUTO;ON;OFF
309.9;4.191;0.000;AUTO;ON;OFF
310.5;4.191;0.000;AUTO;ON;OFF
311.0;4.191;0.000;AUTO;ON;OFF
311.6;4.191;0.000;AUTO;ON;OFF
312.0;4.191;0.000;AUTO;ON;OFF
312.8;4.191;0.000;AUTO;ON;OFF
313.1;4.191;0.000;AUTO;ON;OFF
313.9;4.190;0.000;AUTO;ON;OFF
314.2;4.190;0.000;AUTO;ON;OFF
315.1;4.191;0.000;AUTO;ON;OFF
315.3;4.191;0.000;AUTO;ON;OFF
316.2;4.191;0.000;AUTO;ON;OFF
316.4;4.191;0.000;AUTO;ON;OFF
317.4;4.191;0.000;AUTO;ON;OFF
317.4;4.191;0.000;AUTO;ON;OFF
318.5;4.191;0.000;AUTO;ON;OFF
318.6;4.191;0.000;AUTO;ON;OFF
319.6;4.191;0.000;AUTO;ON;OFF
319.7;4.190;0.000;AUTO;ON;OFF
320.7;4.190;0.000;AUTO;ON;OFF
320.9;4.191;0.000;AUTO;ON;OFF
321.7;4.191;0.000;AUTO;ON;OFF
322.0;4.191;0.000;AUTO;ON;OFF
