Tempo (s);Tensao (V);Corrente (A);Modo;Carga;Descarga
287.0;3.239;0.540;MANUAL;OFF;ON
287.9;3.239;0.540;MANUAL;OFF;ON
288.2;3.234;0.540;MANUAL;OFF;ON
289.0;3.234;0.540;MANUAL;OFF;ON
289.4;3.232;0.540;MANUAL;OFF;ON
290.1;3.232;0.540;MANUAL;OFF;ON
290.5;3.229;0.540;MANUAL;OFF;ON
291.1;3.229;0.540;MANUAL;OFF;ON
291.7;3.226;0.540;MANUAL;OFF;ON
292.2;3.226;0.540;MANUAL;OFF;ON
292.8;3.223;0.540;MANUAL;OFF;ON
293.3;3.223;0.540;MANUAL;OFF;ON
294.0;3.219;0.540;MANUAL;OFF;ON
294.4;3.219;0.540;MANUAL;OFF;ON
295.2;3.210;0.540;MANUAL;OFF;ON
295.4;3.210;0.540;MANUAL;OFF;ON
296.3;3.207;0.540;MANUAL;OFF;ON
296.5;3.207;0.540;MANUAL;OFF;ON
297.5;3.204;0.540;MANUAL;OFF;ON
297.6;3.204;0.540;MANUAL;OFF;ON
298.7;3.203;0.540;MANUAL;OFF;ON
298.7;3.203;0.540;MANUAL;OFF;ON
299.8;3.199;0.540;MANUAL;OFF;ON
299.8;3.199;0.540;MANUAL;OFF;ON
300.9;3.199;0.540;MANUAL;OFF;ON
301.0;3.195;0.540;MANUAL;OFF;ON
302.0;3.195;0.540;MANUAL;OFF;ON
302.1;3.191;0.540;MANUAL;OFF;ON
303.1;3.191;0.540;MANUAL;OFF;ON
303.3;3.189;0.540;MANUAL;OFF;ON
304.2;3.189;0.540;MANUAL;OFF;ON
304.4;3.184;0.494;MANUAL;OFF;ON
305.2;3.184;0.494;MANUAL;OFF;ON
305.6;3.182;0.540;MANUAL;OFF;ON
306.3;3.182;0.540;MANUAL;OFF;ON
306.8;3.178;0.540;MANUAL;OFF;ON
307.4;3.178;0.540;MANUAL;OFF;ON
307.9;3.175;0.481;MANUAL;OFF;ON
308.4;3.175;0.481;MANUAL;OFF;ON
309.1;3.172;0.540;MANUAL;OFF;ON
309.5;3.172;0.540;MANUAL;OFF;ON
310.3;3.168;0.540;MANUAL;OFF;ON
310.6;3.168;0.540;MANUAL;OFF;ON
311.4;3.164;0.523;MANUAL;OFF;ON
311.7;3.164;0.523;MANUAL;OFF;ON
312.6;3.161;0.540;MANUAL;OFF;ON
312.8;3.161;0.540;MANUAL;OFF;ON
313.7;3.158;0.540;MANUAL;OFF;ON
313.8;3.158;0.540;MANUAL;OFF;ON
314.9;3.154;0.517;MANUAL;OFF;ON
314.9;3.154;0.517;MANUAL;OFF;ON
316.0;3.154;0.517;MANUAL;OFF;ON
316.0;3.150;0.540;MANUAL;OFF;ON
317.0;3.150;0.540;MANUAL;OFF;ON
317.2;3.146;0.540;MANUAL;OFF;ON
318.1;3.146;0.540;MANUAL;OFF;ON
318.4;3.143;0.540;MANUAL;OFF;ON
319.2;3.143;0.540;MANUAL;OFF;ON
319.5;3.138;0.540;MANUAL;OFF;ON
320.3;3.138;0.540;MANUAL;OFF;ON
